"","abrev","Yindex","Year","FelOth","CivAdd","Total","DesCap","PercCap","StaffCap","name"
"265","CCWF",554,2001,3142,5,3147,2004,157,3386,NA
"266","NCWF",563,2001,734,0,734,400,183.5,755,NA
"267","SCC",572,2001,328,0,328,320,102.5,320,NA
"268","VSP",581,2001,3185,7,3192,1980,161.2,3324,NA
"269","FEMALE",608,2001,9602,384,9986,6230,160.3,10278,NA
"270","INSTITUTIONS/CAMPS",645,2001,150850,1732,152582,80467,189.6,154263,NA
"271","ASP",119,2002,6865,0,6865,2920,235.1,6778,NA
"272","CCC",128,2002,5918,0,5918,3682,160.7,5642,NA
"273","CCI",137,2002,5339,0,5339,2781,192,5600,NA
"274","CIM",146,2002,6524,28,6552,3078,212.9,6265,NA
"275","CMF",164,2002,3308,0,3308,2315,142.9,3401,NA
"276","CMC",173,2002,6540,0,6540,3884,168.4,6604,NA
"277","CRC",182,2002,2913,1023,3936,1814,217,3952,NA
"278","CAL",191,2002,4045,0,4045,2208,183.2,4068,NA
"279","CEN",210,2002,4512,0,4512,2208,204.3,4668,NA
"280","COR",219,2002,4986,0,4986,3016,165.3,5019,NA
"281","LAC",228,2002,4027,0,4027,2200,183,4100,NA
"282","SAC",237,2002,2970,0,2970,1728,171.9,3042,NA
"283","SQ",255,2002,5614,4,5618,3273,171.6,5533,NA
"284","SOL",264,2002,5823,0,5823,2610,223.1,5852,NA
"285","CVSP",282,2002,3660,0,3660,1738,210.6,3664,NA
"286","CTF",300,2002,6298,0,6298,3281,192,6301,NA
"287","DVI",309,2002,3902,11,3913,1787,219,3941,NA
"288","FOL",318,2002,3668,0,3668,2072,177,3725,NA
"289","HDP",327,2002,4177,2,4179,2224,187.9,4260,NA
"290","IRON",346,2002,4602,0,4602,2200,209.2,4565,NA
"291","MCSP",355,2002,3666,0,3666,1700,215.6,3671,NA
"292","NKSP",364,2002,5103,2,5105,2692,189.6,5089,NA
"293","PDC",373,2002,1287,0,1287,0,0,1292,NA
"294","PBSP",391,2002,3272,0,3272,2280,143.5,3494,NA
"295","PVSP",400,2002,4648,0,4648,2208,210.5,4573,NA
"296","RIO",409,2002,256,0,256,0,0,250,NA
"297","RJD",418,2002,4608,1,4609,2200,209.5,4673,NA
"298","SVSP",436,2002,4212,0,4212,2224,189.4,4376,NA
"299","SRTA",445,2002,765,0,765,0,0,750,NA
"300","SCC",454,2002,5994,0,5994,3606,166.2,5869,NA
"301","WSP",463,2002,5985,14,5999,2984,201,5893,NA
"302","MALE",491,2002,141958,1087,143045,74237,192.7,143565,NA
"303","CIW",536,2002,1784,10,1794,1026,174.9,1564,NA
"304","CRC",545,2002,343,280,623,500,124.6,680,NA
"305","CCWF",554,2002,3088,3,3091,2004,154.2,2853,NA
"306","NCWF",563,2002,716,2,718,400,179.5,630,NA
"307","SCC",572,2002,308,0,308,320,96.3,320,NA
"308","VSP",581,2002,3047,11,3058,1980,154.4,3247,NA
"309","FEMALE",608,2002,9286,306,9592,6230,154,9294,NA
"310","INSTITUTIONS/CAMPS",645,2002,151244,1393,152637,80467,189.7,152859,NA
"311","ASP",119,2003,6880,0,6880,2920,235.6,6828,NA
"312","CCC",128,2003,5992,0,5992,3682,162.7,5642,NA
"313","CCI",137,2003,5398,0,5398,2781,194.1,5600,NA
"314","CIM",146,2003,6483,33,6516,3078,211.7,6465,NA
"315","CMF",164,2003,3292,0,3292,2315,142.2,3401,NA
"316","CMC",173,2003,6500,0,6500,3884,167.4,6604,NA
"317","CRC",182,2003,2935,1024,3959,1814,218.2,3952,NA
"318","CAL",191,2003,4162,0,4162,2208,188.5,4308,NA
"319","CEN",210,2003,4581,0,4581,2208,207.5,4883,NA
"320","COR",219,2003,5062,0,5062,3016,167.8,5184,NA
"321","LAC",228,2003,4244,0,4244,2200,192.9,4455,NA
"322","SAC",237,2003,3002,0,3002,1728,173.7,3058,NA
"323","SQ",255,2003,5333,12,5345,3273,163.3,5533,NA
"324","SOL",264,2003,5817,0,5817,2610,222.9,5852,NA
"325","CVSP",282,2003,3778,0,3778,1738,217.4,3764,NA
"326","CTF",300,2003,7150,0,7150,3281,217.9,7001,NA
"327","DVI",309,2003,3919,15,3934,1787,220.1,3941,NA
"328","FOL",318,2003,3753,0,3753,2072,181.1,3846,NA
"329","HDP",327,2003,4322,1,4323,2344,184.4,4190,NA
"330","IRON",345,2003,4652,0,4652,2200,211.5,4565,NA
"331","MCSP",355,2003,3580,0,3580,1700,210.6,3671,NA
"332","NKSP",364,2003,4952,5,4957,2692,184.1,5139,NA
"333","PDC",373,2003,1238,0,1238,0,0,1292,NA
"334","PBSP",391,2003,3164,0,3164,2280,138.8,3492,NA
"335","PVSP",400,2003,4791,0,4791,2208,217,5053,NA
"336","RIO",409,2003,242,0,242,0,0,250,NA
"337","RJD",418,2003,4271,0,4271,2200,194.1,4443,NA
"338","SVSP",436,2003,4367,0,4367,2224,196.4,4720,NA
"339","SRTA",445,2003,717,0,717,0,0,750,NA
"340","SCC",454,2003,6041,1,6042,3606,167.6,5977,NA
"341","WSP",463,2003,6008,22,6030,2984,202.1,5958,NA
"342","MALE",490,2003,143171,1117,144288,74357,194,146352,NA
"343","CIW",536,2003,1792,10,1802,1026,175.6,1564,NA
"344","CRC",545,2003,473,259,732,500,146.4,680,NA
"345","CCWF",554,2003,3484,3,3487,2004,174,3233,NA
"346","SCC",563,2003,250,0,250,320,78.1,320,NA
"347","VSP",572,2003,3536,12,3548,1980,179.2,3737,NA
"348","FEMALE",599,2003,9535,284,9819,5830,168.4,9534,NA
"349","INSTITUTIONS/CAMPS",636,2003,152706,1401,154107,80187,192.2,155886,NA
"350","ASP",119,2004,7186,0,7186,2920,246.1,7128,NA
"351","CCC",128,2004,5965,0,5965,3682,162,5642,NA
"352","CCI",137,2004,5454,0,5454,2781,196.1,5597,NA
"353","CIM",146,2004,6515,29,6544,3078,212.6,6665,NA
"354","CMF",164,2004,3263,0,3263,2315,141,3401,NA
"355","CMC",173,2004,6488,0,6488,3884,167,6604,NA
"356","CRC",182,2004,3048,946,3994,1814,220.2,3952,NA
"357","CAL",191,2004,4106,0,4106,2508,163.7,4318,NA
"358","CEN",210,2004,4895,0,4895,2208,221.7,5091,NA
"359","COR",219,2004,5123,0,5123,3016,169.9,5184,NA
"360","LAC",228,2004,4579,5,4584,2200,208.4,4540,NA
"361","SAC",237,2004,3347,0,3347,1728,193.7,3244,NA
"362","SQ",255,2004,5833,11,5844,3273,178.6,5731,NA
"363","SOL",264,2004,6089,0,6089,2610,233.3,5996,NA
"364","CVSP",282,2004,4160,0,4160,1738,239.4,4292,NA
"365","CTF",300,2004,6927,0,6927,3281,211.1,7001,NA
"366","DVI",309,2004,3438,16,3454,1787,193.3,3551,NA
"367","FOL",318,2004,3987,0,3987,2475,161.1,4249,NA
"368","HDP",327,2004,4827,8,4835,2344,206.3,4788,NA
"369","IRON",345,2004,4714,0,4714,2200,214.3,4773,NA
"370","MCSP",355,2004,3770,0,3770,1700,221.8,3837,NA
"371","NKSP",364,2004,5268,4,5272,2692,195.8,5387,NA
"372","PDC",373,2004,1278,0,1278,0,0,1292,NA
"373","PBSP",391,2004,3498,1,3499,2280,153.5,3582,NA
"374","PVSP",400,2004,4598,0,4598,2208,208.2,4848,NA
"375","RIO",409,2004,356,0,356,0,0,250,NA
"376","RJD",418,2004,4387,0,4387,2200,199.4,4443,NA
"377","SVSP",436,2004,4538,0,4538,2224,204,4600,NA
"378","SRTA",445,2004,581,0,581,0,0,750,NA
"379","SCC",454,2004,6059,0,6059,3606,168,5977,NA
"380","WSP",463,2004,6033,33,6066,2984,203.3,5958,NA
"381","MALE",490,2004,147279,1057,148336,75060,197.6,149674,NA
"382","CIW",536,2004,1941,12,1953,1026,190.4,1950,NA
"383","CRC",545,2004,454,240,694,500,138.8,680,NA
"384","CCWF",554,2004,3598,4,3602,2004,179.7,3490,NA
"385","RIO",563,2004,4,0,4,0,0,20,NA
"386","SCC",572,2004,329,0,329,320,102.8,320,NA
"387","VSP",581,2004,3646,17,3663,1980,185,3814,NA
"388","FEMALE",608,2004,9972,273,10245,5830,175.7,10274,NA
"389","INSTITUTIONS/CAMPS",645,2004,157251,1330,158581,80890,196,159948,NA
"390","ASP",119,2005,6722,0,6722,2920,230.2,7028,NA
"391","CCC",128,2005,6103,0,6103,3682,165.8,5750,NA
"392","CCI",137,2005,5637,0,5637,2699,208.9,5824,NA
"393","CIM",146,2005,6643,24,6667,3078,216.6,6615,NA
"394","CMF",164,2005,3217,0,3217,2315,139,3351,NA
"395","CMC",173,2005,6506,1,6507,3884,167.5,6604,NA
"396","CRC",182,2005,3054,878,3932,1814,216.8,3952,NA
"397","CAL",191,2005,4133,0,4133,2508,164.8,4268,NA
"398","CEN",210,2005,4801,0,4801,2208,217.4,5103,NA
"399","COR",219,2005,4928,1,4929,3016,163.4,5134,NA
"400","LAC",228,2005,4669,0,4669,2200,212.2,4684,NA
"401","SAC",237,2005,3191,0,3191,1728,184.7,3244,NA
"402","SQ",255,2005,5440,3,5443,3273,166.3,5681,NA
"403","SOL",264,2005,6075,0,6075,2610,232.8,5660,NA
